,author,text,Post ID,likes_count,replies_count,replies,media_count,media,location,geolocation,creation_time,last_scraped_time,geolocation_dict,lat,lng,location_name,replies_list,num_replies,user_by_comment,content_by_comment,likes_by_comment
0,,,CghyXbHDwI7,,0,[],0.0,[],,{},,2024-10-23T05:23:53Z,{},,,,[],0,[],[],[]
1,weareinreach,"MPox (or monkeypox) is a viral zoonotic disease that has been declared a global health emergency by the W.H.O. - and as of July 2022, has been primarily spreading among gay and bisexual men. Due to the nature of this virus, it is unsafe to assume it will stay that way.

Misinformation can be common as scientists and public health officials learn more about disease outbreaks and varying modes of transmission. Stay informed with reputable sources and learn how to keep yourself safe:

Vaccine Information: https://www.cdc.gov/poxvirus/monkeypox/considerations-for-monkeypox-vaccination.html#vaccine-information

W.H.O. Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/monkeypox

Map of U.S. Cases: https://www.cdc.gov/poxvirus/monkeypox/response/2022/us-map.html

#safehelpisinreach #mpox #lgbtq",Cgcc19OMl6y,4.0,0,[],0.0,"[{'type': 'img', 'url': 'https://scontent.cdninstagram.com/v/t51.2885-15/295513881_430526739000331_4847086715308325305_n.jpg?stp=dst-jpg_e35&cb=9b69d9bc-1c402c4c&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyODg1LmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent.cdninstagram.com&_nc_cat=107&_nc_ohc=XhVJ6HUATk0Q7kNvgEuOipZ&_nc_gid=ca568744f15b404a97de5eea8e84d0d5&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=Mjg5MDMxMTkxNDAzNjAyNzA1OA%3D%3D.3-ccb7-5-cb9b69d9bc-1c402c4c&oh=00_AYCrXAOg1ZPxF4O7deMyy2Uj0OhnK71UeBTFcYKARyfmoA&oe=671E707D&_nc_sid=10d13b', 'description': 'Photo by InReach 🏳️\u200d⚧️🏳️\u200d🌈 on July 25, 2022.', 'duration': None}]",,{},2022-07-25T18:00:54.000Z,2024-10-22T23:45:07Z,{},,,,[],0,[],[],[]
2,drluisfernandocorreia,Monkeypox: sintomas,CgW9vt-lDQM,145.0,0,"['leninhaolivares\n 117w\nNossa,Dr Luiz está sumido. Saiu da Globo?\nReply\nSee translation', 'osvaldo_saturnino\n 117w\n🤘🏾🤘🏾\nReply', 'jo_turquezza\n 117w\nPartilhando....\nReply\nSee translation', 'flaucoppola\n 117w\nObrigada!🙌\nReply\nSee translation', 'leacutrim\n 117w\nVou compartilhar. Como sempre o senhor com informações preciosas!\nReply\nSee translation']",0.0,"[{'type': 'video', 'url': 'blob:https://www.instagram.com/d737d125-02cc-472a-8f5d-d2d242c4b469', 'description': None, 'duration': None}]",,{},2022-07-23T14:53:09.000Z,2024-10-22T21:51:00Z,{},,,,"['leninhaolivares\n 117w\nNossa,Dr Luiz está sumido. Saiu da Globo?\nReply\nSee translation', 'osvaldo_saturnino\n 117w\n🤘🏾🤘🏾\nReply', 'jo_turquezza\n 117w\nPartilhando....\nReply\nSee translation', 'flaucoppola\n 117w\nObrigada!🙌\nReply\nSee translation', 'leacutrim\n 117w\nVou compartilhar. Como sempre o senhor com informações preciosas!\nReply\nSee translation']",5,"['leninhaolivares', 'osvaldo_saturnino', 'jo_turquezza', 'flaucoppola', 'leacutrim']","['Nossa,Dr Luiz está sumido. Saiu da Globo?', '🤘🏾🤘🏾', 'Partilhando....', 'Obrigada!🙌', 'Vou compartilhar. Como sempre o senhor com informações preciosas!']","[0, 0, 0, 0, 0]"
3,otimafarmacia,"DEFNIÇÃO DE CASO, SEGUNDO O MINISTÉRIO DA SAÚDE:

🟡 Caso suspeito: Indivíduo de qualquer idade que, a partir de 15 de março de 2022, apresente início súbito de erupção cutânea aguda sugestiva de Monkeypox, única ou múltipla, em qualquer parte do corpo (incluindo região genital), associada ou não a adenomegalia ou relato de febre
E
um dos seguintes vínculos:
➡️ Histórico de contato íntimo com desconhecido/a(s) e/ou parceiro/a(s) casual(is), nos últimos 21 dias que antecederam o início dos sinais e sintomas
OU
➡️ Ter vínculo epidemiológico com caso suspeito, provável ou confirmado de Monkeypox, desde 15 de março de 2022, nos 21 dias anteriores ao início dos sinais e sintomas
OU
➡️ Histórico de viagem a país endêmico ou com casos confirmados de Monkeypox nos 21 dias anteriores ao início dos sinais e sintomas
OU
➡️ Ter vínculo epidemiológico com pessoas com histórico de viagem a país endêmico ou país com casos confirmados de Monkeypox, desde 15 de março de 2022, nos 21 dias anteriores ao início dos sinais e sintomas.

🟢 Caso descartado: Indivíduo que atende à definição de caso suspeito com resultado/laudo de exame laboratorial ""Negativo/Não Detectável"" para Monkeypox vírus (MPXV) por diagnóstico molecular (PCR em Tempo Real e/ou Sequenciamento),
OU
Caso suspeito que durante a investigação clínica, epidemiológica e laboratorial foi diagnosticado outra doença compatível com o quadro apresentado pelo paciente, exceto IST.

🔴 Caso provável: Caso suspeito, submetido a investigação clínica e epidemiológica, E que cursou com quadro clínico compatível com Monkeypox, porém sem possibilidade de confirmação laboratorial por PCR em Tempo Real e/ou sequenciamento.

Para mais informações: https://www.gov.br/saude/pt-br/composicao/svs/resposta-a-emergencias/sala-de-situacao-de-saude/sala-de-situacao-de-monkeypox

#monkeypox #varioladosmacacos #saude #farmácia #otima #farmaciademanipulacao #medicina",CgiJytJJPnz,11.0,0,"['sisidockhorn\n 116w\n😮😮👏\nReply', 'daguidockhornf\n 116w\n😮👏👏\nReply', 'neiav.esteticista\n 116w\n👏👏👏👏😍\nReply']",4.0,"[{'type': 'img', 'url': 'https://scontent.cdninstagram.com/v/t51.29350-15/295948031_628935325538331_6618190151048136381_n.webp?stp=dst-jpg_e35&cb=9b69d9bc-1c402c4c&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=103&_nc_ohc=ezplg7aVv6gQ7kNvgEmibxQ&_nc_gid=3c3eda628c4444ee862f33339054d2b5&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=Mjg5MTkxNjk3MzA3NjU4NDM3Mg%3D%3D.3-ccb7-5-cb9b69d9bc-1c402c4c&oh=00_AYBwW3K6uVATh_PiHc5TjfRLgSfAHQtxxklWgHDdIFD9lA&oe=671E69D3&_nc_sid=10d13b', 'description': 'Photo by Ótima Farmácia de Manipulação on July 27, 2022.', 'duration': None}, {'type': 'img', 'url': 'https://scontent.cdninstagram.com/v/t51.29350-15/295913906_589103499392926_7325284436275960167_n.webp?stp=dst-jpg_e35&cb=9b69d9bc-1c402c4c&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=e8Mb9eEL-9AQ7kNvgFRnFc-&_nc_gid=3c3eda628c4444ee862f33339054d2b5&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=Mjg5MTkxNjk3MzA5MzI3MjAzNg%3D%3D.3-ccb7-5-cb9b69d9bc-1c402c4c&oh=00_AYBWvC1uGteBPOELoFxlYTVRp3tpdpCmTxzQDyMLU4K34Q&oe=671E6BAB&_nc_sid=10d13b', 'description': 'Photo by Ótima Farmácia de Manipulação on July 27, 2022.', 'duration': None}]",,{},2022-07-27T23:09:50.000Z,2024-10-23T00:49:48Z,{},,,,"['sisidockhorn\n 116w\n😮😮👏\nReply', 'daguidockhornf\n 116w\n😮👏👏\nReply', 'neiav.esteticista\n 116w\n👏👏👏👏😍\nReply']",3,"['sisidockhorn', 'daguidockhornf', 'neiav.esteticista']","['😮😮👏', '😮👏👏', '👏👏👏👏😍']","[0, 0, 0]"
4,jaironove,"El conocimiento es poder!
Son 4 las maneras de contagiarse por monkeypox. Aprende las y comparte! #MenosMiedo #MasInformacionCientífica 🙌😷",CgeynVCFSmx,"1,005",0,"['janine_estherpineda27\n 116w\nHola doctor un saludo cordial gracias siempre le doy por mantenernos informados sobre estas enfermedades altamente contagiosas un millón de gracias Dios bendiga su vida 🥰\nReply\nSee translation', 'juanfonseca948\n 116w\nGracias\nReply\nSee translation', 'lipy.tejidos\n 117w\nHola. Quería saber si los que en su niñez tuvieron varicela son inmunes a esta viruela?\n1 like\nReply\nSee translation\nView all 2 replies', 'psemeguen\n 117w\n❤️❤️🙌\nReply', 'elviradiaz92087\n 117w\nSiempre gran ser humano 🙌\nReply\nSee translation', 'qianzhiy\n 117w\n🙆\u200d♀️👏🏻🙌💚\nReply', 'cecy.gomezm\n 117w\nGracias dr. ¿Cuáles son los síntomas ante este nuevo virus?\n1 like\nReply\nSee translation', 'aracelysromero\n 117w\nGracias 🤩\nReply\nSee translation', 'midrey_puente\n 117w\nBuenas tardes, Dr. Creó tengo Coronavirus 😢 me siento demasiado mal desde anoche que debo tomar aparte del acetaminofen y antialérgico??\nReply\nSee translation\nView all 9 replies', 'lauralabrador63\n 117w\nBuenas tardes Doctor. hace 7 meses me coloque la segunda dosis de la vacuna para el covid y no le encuentro sabor a la comida y los olores son diferentes a cómo eran antes de vacunarme y por eso no me he colocado la tercera dosis\nReply\nSee translation\nView all 1 replies', 'anym20\n 117w\nY ahora qué los niños no usan tapabocas en USA como será el comienzo de clases? Debemos preocuparnos?\nReply\nSee translation\nView all 2 replies', 'dubrask3\n 117w\n❤️\nReply\nView all 1 replies']",0.0,"[{'type': 'video', 'url': 'blob:https://www.instagram.com/65a7856d-7259-4d19-8e8c-89d8de0c95d3', 'description': None, 'duration': None}]",,{},2022-07-26T15:52:00.000Z,2024-10-23T00:20:46Z,{},,,,"['janine_estherpineda27\n 116w\nHola doctor un saludo cordial gracias siempre le doy por mantenernos informados sobre estas enfermedades altamente contagiosas un millón de gracias Dios bendiga su vida 🥰\nReply\nSee translation', 'juanfonseca948\n 116w\nGracias\nReply\nSee translation', 'lipy.tejidos\n 117w\nHola. Quería saber si los que en su niñez tuvieron varicela son inmunes a esta viruela?\n1 like\nReply\nSee translation\nView all 2 replies', 'psemeguen\n 117w\n❤️❤️🙌\nReply', 'elviradiaz92087\n 117w\nSiempre gran ser humano 🙌\nReply\nSee translation', 'qianzhiy\n 117w\n🙆\u200d♀️👏🏻🙌💚\nReply', 'cecy.gomezm\n 117w\nGracias dr. ¿Cuáles son los síntomas ante este nuevo virus?\n1 like\nReply\nSee translation', 'aracelysromero\n 117w\nGracias 🤩\nReply\nSee translation', 'midrey_puente\n 117w\nBuenas tardes, Dr. Creó tengo Coronavirus 😢 me siento demasiado mal desde anoche que debo tomar aparte del acetaminofen y antialérgico??\nReply\nSee translation\nView all 9 replies', 'lauralabrador63\n 117w\nBuenas tardes Doctor. hace 7 meses me coloque la segunda dosis de la vacuna para el covid y no le encuentro sabor a la comida y los olores son diferentes a cómo eran antes de vacunarme y por eso no me he colocado la tercera dosis\nReply\nSee translation\nView all 1 replies', 'anym20\n 117w\nY ahora qué los niños no usan tapabocas en USA como será el comienzo de clases? Debemos preocuparnos?\nReply\nSee translation\nView all 2 replies', 'dubrask3\n 117w\n❤️\nReply\nView all 1 replies']",12,"['janine_estherpineda27', 'juanfonseca948', 'lipy.tejidos', 'psemeguen', 'elviradiaz92087', 'qianzhiy', 'cecy.gomezm', 'aracelysromero', 'midrey_puente', 'lauralabrador63', 'anym20', 'dubrask3']","['Hola doctor un saludo cordial gracias siempre le doy por mantenernos informados sobre estas enfermedades altamente contagiosas un millón de gracias Dios bendiga su vida 🥰', 'Gracias', 'Hola. Quería saber si los que en su niñez tuvieron varicela son inmunes a esta viruela?', '❤️❤️🙌', 'Siempre gran ser humano 🙌', '🙆\u200d♀️👏🏻🙌💚', 'Gracias dr. ¿Cuáles son los síntomas ante este nuevo virus?', 'Gracias 🤩', 'Buenas tardes, Dr. Creó tengo Coronavirus 😢 me siento demasiado mal desde anoche que debo tomar aparte del acetaminofen y antialérgico??', 'Buenas tardes Doctor. hace 7 meses me coloque la segunda dosis de la vacuna para el covid y no le encuentro sabor a la comida y los olores son diferentes a cómo eran antes de vacunarme y por eso no me he colocado la tercera dosis', 'Y ahora qué los niños no usan tapabocas en USA como será el comienzo de clases? Debemos preocuparnos?', '❤️']","[0, 0, '1', 0, 0, 0, '1', 0, 0, 0, 0, 0]"
5,msuhealthymaverick,"U.S. cases of Monkeypox are being tracked by the CDC, with more than 3500 cases reported. #monkeypox",Cghy0MQP0al,20,0,[],0.0,"[{'type': 'img', 'url': 'https://scontent.cdninstagram.com/v/t51.29350-15/295965842_606185831170892_1282921261826388660_n.jpg?stp=dst-jpg_e35&cb=9b69d9bc-1c402c4c&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=108&_nc_ohc=AfUWNO2ncywQ7kNvgGFVS1y&_nc_gid=3006e599880e40be8e940c8154bec415&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=Mjg5MTgxNTkyNDY0NDM5ODc1Nw%3D%3D.3-ccb7-5-cb9b69d9bc-1c402c4c&oh=00_AYCxKpWSHXHgtxkNIKUVZX1sZEqPqXIkAQf64JqPP7X7Qg&oe=671EBB7D&_nc_sid=10d13b', 'description': 'Photo by MSU Student Health Services on July 27, 2022.', 'duration': None}]",,{},2022-07-27T19:49:04.000Z,2024-10-23T04:16:03Z,{},,,,[],0,[],[],[]
6,cqlab.info,"REPOST: Supply of the vaccine for the Monkeypox virus (MPV) is very limited at this time, so please follow these steps to determine if you're eligible or not.

As a reminder, MPV is spread through intimate and not casual interactions. If you think you have MPV, @chipublichealth recommends getting tested immediately. Call 773.388.1600 to schedule an MPV screening.

Learn more about the vaccine and other safety recommendations you can take at http://chi.gov/monkeypox.

We're here to break it all down so that you can stay safe and healthy this summer.

#monkeypox #publichealth #safety #chicago",Cgdcs9lsa5u,62,0,"['ryanstrautfx\n 116w\nIn your previous posts, you are accurate in stating that monkeypox can affect anyone. The design of this is implying otherwise, and that can be harmful coming from a source of medical education. The 3 qualifiers you have listed to the right should be enough without the first identifier of MSM for a physician to determine if a patient is high-risk. Further pushing the public narrative that this is a queer disease is irresponsible, especially without the context of why MSMs report higher numbers currently\n2 likes\nReply', ""ryanstrautfx\n 116w\nSkin-to-skin contact doesn't have to be intimate, please rephrase this language to clarify the difference.\nReply""]",0.0,"[{'type': 'img', 'url': 'https://scontent.cdninstagram.com/v/t51.29350-15/295711034_453425023037740_6513253952599008422_n.jpg?stp=dst-jpg_e15&cb=9b69d9bc-1c402c4c&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=104&_nc_ohc=aP4GidpbNYsQ7kNvgG40pEs&_nc_gid=a46b0d48561e471ba6aa6d727e7cdd47&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=Mjg5MDU5Mjc3MDkzMTY2NjU0Mg%3D%3D.3-ccb7-5-cb9b69d9bc-1c402c4c&oh=00_AYCkD3NVbOIfWZOWBu3VWjdVElxmAkKXw_4U_cLjNlEd-A&oe=671E6EA7&_nc_sid=10d13b', 'description': 'Photo by CQL Collaborative in Chicago, Illinois.', 'duration': None}]",https://www.instagram.com/explore/locations/204517928/chicago-illinois/,"{'pk': 204517928, 'short_name': 'Chicago', 'facebook_places_id': 108659242498155, 'external_source': 'facebook_places', 'name': 'Chicago, Illinois', 'address': '', 'city': '', 'has_viewer_saved': False, 'lng': -87.632496, 'lat': 41.883222}",2022-07-26T03:18:53.000Z,2024-10-22T22:58:12Z,"{'pk': 204517928, 'short_name': 'Chicago', 'facebook_places_id': 108659242498155, 'external_source': 'facebook_places', 'name': 'Chicago, Illinois', 'address': '', 'city': '', 'has_viewer_saved': False, 'lng': -87.632496, 'lat': 41.883222}",41.883222,-87.632496,"Chicago, Illinois","['ryanstrautfx\n 116w\nIn your previous posts, you are accurate in stating that monkeypox can affect anyone. The design of this is implying otherwise, and that can be harmful coming from a source of medical education. The 3 qualifiers you have listed to the right should be enough without the first identifier of MSM for a physician to determine if a patient is high-risk. Further pushing the public narrative that this is a queer disease is irresponsible, especially without the context of why MSMs report higher numbers currently\n2 likes\nReply', ""ryanstrautfx\n 116w\nSkin-to-skin contact doesn't have to be intimate, please rephrase this language to clarify the difference.\nReply""]",2,"['ryanstrautfx', 'ryanstrautfx']","['In your previous posts, you are accurate in stating that monkeypox can affect anyone. The design of this is implying otherwise, and that can be harmful coming from a source of medical education. The 3 qualifiers you have listed to the right should be enough without the first identifier of MSM for a physician to determine if a patient is high-risk. Further pushing the public narrative that this is a queer disease is irresponsible, especially without the context of why MSMs report higher numbers currently', ""Skin-to-skin contact doesn't have to be intimate, please rephrase this language to clarify the difference.""]","['2', 0]"
7,,,CgXMyIjP34S,,0,[],0.0,[],,{},,2024-10-22T21:04:34Z,{},,,,[],0,[],[],[]
8,sonias_scrapbook,"Part 2 of 2

""Y'all tell me.""

#youtube #youtubeshare #youtubechannel #anthonybrianlogan #monkeypox #std #worldhealthorganization",CghgjoKjWFo,73,0,[],0.0,"[{'type': 'video', 'url': 'blob:https://www.instagram.com/6bb54d10-eb32-4ab4-a150-86c968f8b3a5', 'description': None, 'duration': None}]",,{},2022-07-27T17:10:38.000Z,2024-10-23T07:02:01Z,{},,,,[],0,[],[],[]
9,pharmavision.gj,"તમારી જાતને #Monkeypox થી સુરક્ષિત રાખો. રોગ થવાના કારણો અને લક્ષણો તેમજ ચેપથી બચવા માટે લેવાતી સાવચેતીઓ જાણો. 🦠

#pharmavision #abvpgujarat #ABVP",Cghgx4bs6ur,37,0,[],5.0,"[{'type': 'img', 'url': 'https://scontent.cdninstagram.com/v/t51.29350-15/296308289_1416320715440125_8697479013001172864_n.jpg?stp=dst-jpg_e35&cb=9b69d9bc-1c402c4c&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45NzZ4OTMwLnNkci5mMjkzNTAuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=scontent.cdninstagram.com&_nc_cat=101&_nc_ohc=MLi4vJ5jgWYQ7kNvgGmatyF&_nc_gid=db4f8f2f042d4847925785b4a82089dd&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=Mjg5MTczNjU5NTAzNzMwODk3MA%3D%3D.3-ccb7-5-cb9b69d9bc-1c402c4c&oh=00_AYBOY8QQSFOzEn6UXo9rMUUbn3R7mNVWJvmTA54D_6M-zw&oe=671EC010&_nc_sid=10d13b', 'description': 'Photo by Pharmavision_Gujarat on July 27, 2022.', 'duration': None}, {'type': 'img', 'url': 'https://scontent.cdninstagram.com/v/t51.29350-15/296096793_788986248800387_8505632488417392576_n.jpg?stp=dst-jpg_e35&cb=9b69d9bc-1c402c4c&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45NzZ4OTMwLnNkci5mMjkzNTAuZGVmYXVsdF9pbWFnZSJ9&_nc_ht=scontent.cdninstagram.com&_nc_cat=111&_nc_ohc=q7jMIFjeYoIQ7kNvgFatjF7&_nc_gid=db4f8f2f042d4847925785b4a82089dd&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=Mjg5MTczNjU5NTAzNzE2NzE2Nw%3D%3D.3-ccb7-5-cb9b69d9bc-1c402c4c&oh=00_AYATZNUuy-z6GA_sxrVSbXy4KzCBTeVSm5Frt6ivDRD7GA&oe=671EF450&_nc_sid=10d13b', 'description': 'Photo by Pharmavision_Gujarat on July 27, 2022.', 'duration': None}]",https://www.instagram.com/explore/locations/361227035/gujarat/,"{'pk': 361227035, 'short_name': 'Gujarat', 'facebook_places_id': 110311575656943, 'external_source': 'facebook_places', 'name': 'Gujarat', 'address': '', 'city': '', 'has_viewer_saved': False, 'lng': 71.4214, 'lat': 22.5576}",2022-07-27T17:11:28.000Z,2024-10-23T07:24:08Z,"{'pk': 361227035, 'short_name': 'Gujarat', 'facebook_places_id': 110311575656943, 'external_source': 'facebook_places', 'name': 'Gujarat', 'address': '', 'city': '', 'has_viewer_saved': False, 'lng': 71.4214, 'lat': 22.5576}",22.5576,71.4214,Gujarat,[],0,[],[],[]
